Homo	Pan	Gorilla	Pongo	Macaca	Callithrix	Tarsius	Otolemur	Tupaia	Mus	 pair 
2	2	2	2	2	2	2	2	2	2	ENSG00000010810_ENSG00000111816
2	2	2	2	2	2	1	2	2	2	ENSG00000160408_ENSG00000136840
2	2	2	2	2	2	2	1	2	2	ENSG00000173597_ENSG00000109193
2	2	2	2	2	2	2	2	2	2	ENSG00000205085_ENSG00000135248
2	2	2	2	2	2	2	2	2	2	ENSG00000120217_ENSG00000197646
2	2	2	2	2	2	2	2	1	2	ENSG00000048545_ENSG00000112599
2	2	2	2	2	2	0	2	2	2	ENSG00000165215_ENSG00000189143
2	2	2	2	2	2	1	2	0	2	ENSG00000165474_ENSG00000121742
2	2	2	2	2	2	0	2	0	2	ENSG00000175591_ENSG00000171631
2	2	2	2	2	2	2	2	2	2	ENSG00000168542_ENSG00000204262
2	2	2	2	2	2	2	2	2	2	ENSG00000155465_ENSG00000092068
2	2	2	2	2	2	2	2	2	2	ENSG00000123612_ENSG00000115170
2	2	2	2	2	2	2	2	2	2	ENSG00000137411_ENSG00000204394
2	2	2	2	2	2	2	2	1	2	ENSG00000196407_ENSG00000159445
2	2	2	2	2	2	2	2	1	2	ENSG00000105989_ENSG00000002745
2	2	2	2	2	2	2	2	2	2	ENSG00000134853_ENSG00000157404
2	2	2	2	2	2	1	2	2	2	ENSG00000136161_ENSG00000136144
2	2	2	2	2	2	2	2	2	2	ENSG00000008197_ENSG00000008196
2	2	2	2	2	2	2	0	1	2	ENSG00000180205_ENSG00000180083
2	2	2	2	2	2	2	2	2	2	ENSG00000184012_ENSG00000160183
2	2	2	2	2	2	2	2	2	2	ENSG00000163131_ENSG00000143387
2	2	2	2	2	2	2	2	2	2	ENSG00000142224_ENSG00000162891
2	2	2	2	2	2	2	2	2	2	ENSG00000182621_ENSG00000101333
2	2	2	2	2	2	1	2	2	2	ENSG00000114113_ENSG00000114115
2	2	2	2	2	2	2	2	2	2	ENSG00000162378_ENSG00000203995
2	2	2	2	2	2	2	2	2	2	ENSG00000120332_ENSG00000116147
2	2	2	2	2	2	2	2	1	2	ENSG00000113088_ENSG00000145649
2	2	2	2	2	2	2	2	2	2	ENSG00000169032_ENSG00000137764
2	2	2	2	2	2	2	0	2	2	ENSG00000184005_ENSG00000117069
2	2	2	2	2	1	1	2	1	2	ENSG00000197019_ENSG00000167565
2	2	2	2	2	2	2	2	2	2	ENSG00000123243_ENSG00000151655
2	2	2	2	2	2	2	2	2	2	ENSG00000111046_ENSG00000111049
2	2	2	2	2	2	2	2	2	2	ENSG00000065135_ENSG00000134183
2	2	2	2	2	2	0	2	1	2	ENSG00000108379_ENSG00000158955
2	2	2	2	2	1	2	1	1	2	ENSG00000173258_ENSG00000136866
2	2	2	2	2	2	1	1	1	2	ENSG00000063854_ENSG00000103253
2	2	2	2	2	2	0	1	1	2	ENSG00000165572_ENSG00000120696
2	2	2	2	2	2	2	2	2	2	ENSG00000133313_ENSG00000150656
2	2	2	2	2	2	1	2	2	2	ENSG00000089041_ENSG00000135124
2	2	2	2	2	1	2	2	1	2	ENSG00000141560_ENSG00000167363
2	2	2	2	2	2	0	2	2	2	ENSG00000175544_ENSG00000167791
2	2	2	2	2	2	2	2	2	2	ENSG00000134917_ENSG00000166106
2	2	2	2	2	2	2	2	2	2	ENSG00000134115_ENSG00000144619
2	2	2	2	2	2	2	1	2	2	ENSG00000183662_ENSG00000163377
2	2	2	2	2	2	0	2	0	2	ENSG00000135374_ENSG00000135373
2	2	2	2	2	2	2	2	1	2	ENSG00000072210_ENSG00000108602
2	2	2	2	2	1	1	2	2	2	ENSG00000112115_ENSG00000112116
2	2	2	2	2	2	2	2	2	2	ENSG00000139567_ENSG00000135503
2	2	2	2	2	2	1	2	2	2	ENSG00000074966_ENSG00000135605
2	2	2	2	2	1	2	2	1	2	ENSG00000213937_ENSG00000184697
2	2	2	2	2	2	1	2	2	2	ENSG00000149305_ENSG00000166736
2	2	2	2	2	2	1	2	1	2	ENSG00000166128_ENSG00000103769
2	2	2	2	2	2	2	1	2	2	ENSG00000130957_ENSG00000165140
2	2	2	2	2	2	2	2	2	2	ENSG00000143839_ENSG00000196188
2	2	2	2	2	2	2	1	2	2	ENSG00000156504_ENSG00000156500
2	2	2	2	2	2	2	2	2	2	ENSG00000172578_ENSG00000114796
2	2	2	2	2	2	2	2	2	2	ENSG00000182667_ENSG00000183715
2	2	2	2	2	2	1	2	2	2	ENSG00000143333_ENSG00000135824
2	2	2	2	2	2	0	2	1	2	ENSG00000132164_ENSG00000157103
2	2	2	2	2	2	1	2	2	2	ENSG00000086061_ENSG00000137094
2	2	2	2	2	2	2	2	2	2	ENSG00000106829_ENSG00000196781
2	2	2	2	2	2	2	2	2	2	ENSG00000143061_ENSG00000134256
2	2	2	2	2	2	2	2	2	2	ENSG00000170379_ENSG00000198420
2	2	2	2	2	2	2	2	2	2	ENSG00000153822_ENSG00000123700
2	2	2	2	2	2	1	2	2	2	ENSG00000140497_ENSG00000198794
2	2	2	2	2	2	2	2	2	2	ENSG00000102287_ENSG00000011677
2	2	2	2	2	1	2	2	2	2	ENSG00000138668_ENSG00000152795
2	2	2	2	2	2	2	2	2	2	ENSG00000138653_ENSG00000164100
2	2	2	2	2	1	1	1	1	2	ENSG00000131480_ENSG00000131471
2	2	2	2	2	1	2	2	0	2	ENSG00000197353_ENSG00000167656
2	2	2	2	2	2	1	2	2	2	ENSG00000162267_ENSG00000055955
2	2	2	2	2	2	2	2	1	2	ENSG00000139330_ENSG00000139329
2	2	2	2	2	2	2	2	2	2	ENSG00000140274_ENSG00000140254
2	2	2	2	2	2	2	2	2	2	ENSG00000171714_ENSG00000134343
2	2	2	2	2	2	2	2	2	2	ENSG00000164393_ENSG00000153294
2	2	2	2	2	2	2	2	2	2	ENSG00000128833_ENSG00000197535
2	2	2	2	2	2	2	2	2	2	ENSG00000117152_ENSG00000143248
2	2	2	2	2	2	1	2	2	2	ENSG00000136816_ENSG00000136827
