From	To
H2P5A1	ENSPPYG00000012114
Q7Z5P4	ENSG00000170509
Q15916	ENSG00000186130
O95803	ENSG00000164100
Q1HG44	ENSG00000140274
P56748	ENSG00000156284
H7C241	ENSG00000234469
O75106	ENSG00000131480
F6QZ05	ENSMMUG00000010129
F7HPM1	ENSMMUG00000006586
O95484	ENSG00000213937
F6UEK9	ENSMMUG00000005990
H2N814	ENSPPYG00000001559
P98169	ENSG00000198455
H2R4I2	ENSPTRG00000028181
F7HK33	ENSMMUG00000006691
F6ZUV5	ENSMMUG00000003918
H2QSY1	ENSPTRG00000018134
Q6UXB3	ENSG00000197353
F7HMI0	ENSMMUG00000017446
H2P2W0	ENSPPYG00000011327
Q8N9V2	ENSG00000184108
H2NFY7	ENSPPYG00000004094
F7H6I3	ENSMMUG00000000539
P23409	ENSG00000111046
G3QSB7	ENSGGOG00000005665
F7G9G7	ENSMMUG00000005578
F6S4Z1	ENSMMUG00000001563
F6VX07	ENSMMUG00000005665
H2Q5E7	ENSPTRG00000004662
Q96D98	ENSG00000176401
H2N680	ENSPPYG00000000977
G3RIS9	ENSGGOG00000015991
Q92837	ENSG00000165879
H2N8Y2	ENSPPYG00000001830
G3RAV4	ENSGGOG00000012903
H2QE79	ENSPTRG00000009836
H2PEY4	ENSPPYG00000015264
G3QY85	ENSGGOG00000007992
H2R356	ENSPTRG00000018329
H2PXK2	ENSPPYG00000025866
Q9Y6X5	ENSG00000001561
H2NJC5	ENSPPYG00000005190
F6ZNQ2	ENSMMUG00000003933
G3QFI5	ENSGGOG00000001074
H2N979	ENSPPYG00000001918
F6Q6D4	ENSMMUG00000012808
A6NLJ0	ENSG00000205502
H2QIK8	ENSPTRG00000012375
H2QID5	ENSPTRG00000012242
H2RE22	ENSPTRG00000018880
H2PR46	ENSPPYG00000018856
Q5RAA9	ENSPPYG00000019468
G3QNZ9	ENSGGOG00000004366
G3R1Y3	ENSGGOG00000009437
H2R2J6	ENSPTRG00000023370
H2Q550	ENSPTRG00000004484
H2QNJ6	ENSPTRG00000015507
Q9P296	ENSG00000134830
H2QQN6	ENSPTRG00000016736
G3RQK6	ENSGGOG00000024121
G3QEY6	ENSGGOG00000000856
H2QNF7	ENSPTRG00000015436
G3SHW5	ENSGGOG00000022633
H2RAA6	ENSPTRG00000031248
F6Y5E5	ENSMMUG00000009928
P31273	ENSG00000037965
Q96EF9	ENSG00000259305
H2QKG3	ENSPTRG00000013557
Q2TB90	ENSG00000156510
H2PY44	ENSPTRG00000034081
H2PRK8	ENSPPYG00000019015
F7HAN3	ENSMMUG00000023752
Q96HT8	ENSG00000178988
Q5QGT7	ENSG00000198471
P51684	ENSG00000112486
H2Q025	ENSPTRG00000001344
G2HI10	ENSPTRG00000022121
G3SKG8	ENSGGOG00000034961
H2R590	ENSPTRG00000028539
H2QWT1	ENSPTRG00000020641
F6PRP0	ENSMMUG00000016995
F7E038	ENSMMUG00000032242
Q9NZQ7	ENSG00000120217
F7C6K6	ENSMMUG00000008060
H2P235	ENSPPYG00000011065
H2Q3R8	ENSPTRG00000003702
H2NRI4	ENSPPYG00000007562
F7CPZ2	ENSMMUG00000016904
F7FRX9	ENSMMUG00000016027
H2Q2X7	ENSPTRG00000003198
H2R602	ENSPTRG00000021588
G3RCV3	ENSGGOG00000013675
F7H6Y3	ENSMMUG00000006510
Q9GZX3	ENSG00000183196
O14657	ENSG00000136816
H2PLX5	ENSPPYG00000017494
H2NE12	ENSPPYG00000003461
P59025	ENSG00000175077
F7E086	ENSMMUG00000007390
H2NHI9	ENSPPYG00000004593
Q9NUU6	ENSG00000145569
P51815	ENSG00000186376
H2P233	ENSPPYG00000011063
H2Q0F2	ENSPTRG00000001561
F7GNK9	ENSMMUG00000004026
G3QED5	ENSGGOG00000000637
G3RTV2	ENSGGOG00000025489
H2N704	ENSPPYG00000001227
G3QIJ8	ENSGGOG00000002244
Q6UVW9	ENSG00000188393
F6TIY3	ENSMMUG00000020171
H2Q4D2	ENSPTRG00000004042
H2PTB6	ENSPPYG00000019585
H2QZ58	ENSPTRG00000022298
H2QYX7	ENSPTRG00000022119
H2NEL1	ENSPPYG00000003658
H2QE58	ENSPTRG00000009809
H2QXU9	ENSPTRG00000021341
Q8NEX5	ENSG00000180205
H2NYV2	ENSPPYG00000009992
H2PNW5	ENSPPYG00000018122
F6RUK7	ENSMMUG00000004672
H2Q6J3	ENSPTRG00000005261
P07357	ENSG00000157131
H2QKX0	ENSPTRG00000013829
H2QK32	ENSPTRG00000013325
H2RGY0	ENSPTRG00000042548
H2NBJ0	ENSPPYG00000002634
G3QJC0	ENSGGOG00000002551
H2P737	ENSPPYG00000012699
H2N533	ENSPPYG00000000623
F7B3E1	ENSMMUG00000020504
H2N7D4	ENSPPYG00000001342
G3SJL1	ENSGGOG00000027160
G3RNW6	ENSGGOG00000026070
G3RF35	ENSGGOG00000014555
G3QKT9	ENSGGOG00000003125
F7HCJ3	ENSMMUG00000007590
H2Q6J2	ENSPTRG00000005260
H2R2R5	ENSPTRG00000002763
H2QGJ7	ENSPTRG00000011116
Q96LB8	ENSG00000163218
H2R636	ENSPTRG00000029014
H2PS75	ENSPPYG00000019237
Q6AI14	ENSG00000180251
Q99676	ENSG00000096654
H2R4U7	ENSPTRG00000004498
F7HFX8	ENSMMUG00000002867
H2P334	ENSPPYG00000011400
F7FFL7	ENSMMUG00000003301
G3QVZ6	ENSGGOG00000007091
F6W367	ENSMMUG00000006067
G3SFU6	ENSGGOG00000011429
H2Q6H8	ENSPTRG00000005234
H2QXI1	ENSPTRG00000021136
F7E9V2	ENSMMUG00000018188
H2N941	ENSPPYG00000001886
F7DCZ2	ENSMMUG00000014359
O00204	ENSG00000088002
F7DZR5	ENSMMUG00000018251
F6PK31	ENSMMUG00000011623
H2PZS0	ENSPTRG00000001160
F6R8F2	ENSMMUG00000019432
H2QNX8	ENSPTRG00000015724
P59536	ENSG00000221855
H2Q9P5	ENSPTRG00000007215
H2Q6H9	ENSPTRG00000005236
H2QT42	ENSPTRG00000018231
Q9NPC8	ENSG00000170577
G3RLA3	ENSGGOG00000016952
G3QX19	ENSGGOG00000007508
H2PV67	ENSPPYG00000020210
G3RD06	ENSGGOG00000013741
H2P5G5	ENSPPYG00000012177
F7G4G7	ENSMMUG00000005577
G3QEY4	ENSGGOG00000000853
H2QXM5	ENSPTRG00000021217
G3SJS9	ENSGGOG00000026664
G3R8Z7	ENSGGOG00000012150
H2NZF0	ENSPPYG00000010186
Q9Y5L3	ENSG00000054179
G3QDC5	ENSGGOG00000000242
G3RBD4	ENSGGOG00000013093
H2N556	ENSPPYG00000000643
P41231	ENSG00000175591
F7DRG1	ENSMMUG00000012289
H2Q003	ENSPTRG00000001313
G3R409	ENSGGOG00000010221
H2QP65	ENSPTRG00000015888
H2QIG8	ENSPTRG00000012304
F7GKU6	ENSMMUG00000013644
H2QQ28	ENSPTRG00000016389
F7FYS5	ENSMMUG00000014660
F7H6L3	ENSMMUG00000000495
H2P9Z8	ENSPPYG00000013632
H2NH46	ENSPPYG00000004461
H2P5A2	ENSPPYG00000012115
H2QKZ9	ENSPTRG00000032586
H2PE66	ENSPPYG00000015018
H2QSA6	ENSPTRG00000017720
H2N5Q0	ENSPPYG00000000818
F7EGW3	ENSMMUG00000012507
H9H304	ENSMMUG00000004549
G3S121	ENSGGOG00000024083
G3R0Y7	ENSGGOG00000009035
H2PFK0	ENSPPYG00000015465
F6W0V1	ENSMMUG00000016660
Q96LB9	ENSG00000159527
H2PWB9	ENSPPYG00000020574
H2NFY5	ENSPPYG00000004092
H2PFJ9	ENSPPYG00000015464
H2P7Z1	ENSPPYG00000012970
Q9UMX6	ENSG00000112599
H2R4P8	ENSPTRG00000028265
H2PQF4	ENSPPYG00000018629
Q6UWM5	ENSG00000173401
Q8TE58	ENSG00000166106
G3RT55	ENSGGOG00000022626
E7ESF5	ENSG00000175868
F7FQT4	ENSMMUG00000031366
G3R7L7	ENSGGOG00000011651
H2NCK4	ENSPPYG00000002964
H2R151	ENSPTRG00000008792
H2NJE8	ENSPPYG00000005213
H2PF75	ENSPPYG00000015351
F7BQZ1	ENSMMUG00000014403
G3QPI5	ENSGGOG00000004571
H2QT03	ENSPTRG00000018168
P30559	ENSG00000180914
H2Q3T0	ENSPTRG00000003722
F7D079	ENSMMUG00000004920
O75578	ENSG00000143127
H2NV70	ENSPPYG00000008788
F7AB32	ENSMMUG00000013391
H2N9N6	ENSPPYG00000002058
H2PA62	ENSPPYG00000013689
H2QHU8	ENSPTRG00000011888
H2NVY0	ENSPPYG00000009032
Q8N9F0	ENSG00000185818
H2NGG9	ENSPPYG00000004261
G3S6E6	ENSGGOG00000024746
G3R3R6	ENSGGOG00000010143
H2R0Q7	ENSPTRG00000005683
P20061	ENSG00000134827
H2P2M1	ENSPPYG00000011238
G3QM90	ENSGGOG00000003689
Q68J44	ENSG00000188716
F7GFE7	ENSMMUG00000005519
H2NI60	ENSPPYG00000004800
H2PIY1	ENSPPYG00000016575
A2T771	ENSPTRG00000020550
H2RDU1	ENSPTRG00000000875
H2NAP8	ENSPPYG00000002384
F6PXI9	ENSMMUG00000021886
F7DRF4	ENSMMUG00000012290
F7HLB1	ENSMMUG00000018788
H2NNE9	ENSPPYG00000006531
H2P572	ENSPPYG00000012093
H2PKV0	ENSPPYG00000017168
F7H1S2	ENSMMUG00000030511
G3RDP9	ENSGGOG00000014004
H2RGY2	ENSPTRG00000041198
H2QQJ8	ENSPTRG00000016670
H2P6Y6	ENSPPYG00000012650
H2QQW5	ENSPTRG00000016871
P0CK96	ENSG00000189339
F7G1V3	ENSMMUG00000019793
Q7Z5A9	ENSG00000183662
H2NJC6	ENSPPYG00000005191
G3RLH4	ENSGGOG00000017031
H2NN43	ENSPPYG00000006439
F6RFU8	ENSMMUG00000013752
H2NTY3	ENSPPYG00000008371
G3R156	ENSGGOG00000009114
G3SJB2	ENSGGOG00000025587
G3RV79	ENSGGOG00000010020
F6R9X5	ENSMMUG00000010338
G3RKH6	ENSGGOG00000016648
G3SHM8	ENSGGOG00000026551
H2PX35	ENSPPYG00000020828
F6VLP4	ENSMMUG00000014974
F6V2I2	ENSMMUG00000020724
H2Q205	ENSPTRG00000002570
F7CJE4	ENSMMUG00000004904
H2PTM9	ENSPPYG00000019683
H2Q6L3	ENSPTRG00000005289
H2NI86	ENSPPYG00000004824
F7GWE8	ENSMMUG00000012037
G3R6S0	ENSGGOG00000011325
G3RGG0	ENSGGOG00000015073
Q8WWA0	ENSG00000179914
H2NZ54	ENSPPYG00000010089
Q9Y615	ENSG00000187003
F7C9Q6	ENSMMUG00000007713
G3S6I2	ENSGGOG00000011995
F6ZMC4	ENSMMUG00000003948
G3R323	ENSGGOG00000009864
H2PU20	ENSPPYG00000019803
H2Q6L2	ENSPTRG00000005288
G3R4G4	ENSGGOG00000010422
Q6P4Q7	ENSG00000158158
G3S6P8	ENSGGOG00000023868
G3RC05	ENSGGOG00000013351
G3RCJ5	ENSGGOG00000013561
H2RF83	ENSPTRG00000007676
Q646B2	ENSPTRG00000032455
B2RNN3	ENSG00000205863
F6TGC4	ENSMMUG00000000851
H2R817	ENSPTRG00000002064
Q7RTY0	ENSG00000174327
G3R0S9	ENSGGOG00000008977
H2NB14	ENSPPYG00000002489
H2PCA6	ENSPPYG00000014390
H2N3L0	ENSPPYG00000000181
H2PYM2	ENSPTRG00000000519
F6XR41	ENSMMUG00000003999
H2N9G3	ENSPPYG00000001995
H2N3H7	ENSPPYG00000000150
H2ND97	ENSPPYG00000003204
F7HTK9	ENSMMUG00000000020
Q9UHA7	ENSG00000136694
G3S9F1	ENSGGOG00000025495
G3SKL2	ENSGGOG00000034876
Q8N1Q8	ENSG00000196407
F7D6J1	ENSMMUG00000001365
F7FFM2	ENSMMUG00000003300
H2QT61	ENSPTRG00000018268
H2NUJ9	ENSPPYG00000008581
F6XBB3	ENSMMUG00000004164
G3QZU3	ENSGGOG00000008605
F6Z6W6	ENSMMUG00000022609
Q9P0S9	ENSG00000111843
F7HNU3	ENSMMUG00000006194
F6TAJ6	ENSMMUG00000019355
H2Q0Q7	ENSPTRG00000001756
Q86WZ6	ENSG00000131115
Q8NDV1	ENSG00000184005
P12544	ENSG00000145649
H2R8C6	ENSPTRG00000030264
F7CHU1	ENSMMUG00000016933
H2Q024	ENSPTRG00000001342
G3R2H4	ENSGGOG00000009652
P29033	ENSG00000165474
Q6WRX3	ENSG00000203995
F7HIM9	ENSMMUG00000006322
G3R9K6	ENSGGOG00000012384
Q05901	ENSG00000147432
G3S745	ENSGGOG00000024647
F7AQR3	ENSMMUG00000019761
H2PVU1	ENSPPYG00000020408
H2PUA3	ENSPPYG00000019897
F6WB25	ENSMMUG00000006050
P56494	ENSMMUG00000009703
F7HGT7	ENSMMUG00000011669
G3QNI5	ENSGGOG00000004180
H2QGB3	ENSPTRG00000010977
H2NDB7	ENSPPYG00000003225
H2PCB0	ENSPPYG00000014394
H2Q9C6	ENSPTRG00000007027
H2N918	ENSPPYG00000001867
P13349	ENSG00000111049
H2N5P9	ENSPPYG00000000817
H2P6C6	ENSPPYG00000012446
Q9HCK0	ENSG00000171448
P49863	ENSG00000113088
G3QKJ5	ENSGGOG00000003022
Q9UP79	ENSG00000134917
H2RFB6	ENSPTRG00000041995
F6XBA0	ENSMMUG00000004165
G3RAL2	ENSGGOG00000012800
H2PAB1	ENSPPYG00000013733
H2PSZ5	ENSPPYG00000019481
Q8NCU7	ENSG00000198535
H2PVU0	ENSPPYG00000020407
H2PYA1	ENSPTRG00000000316
G3R7T2	ENSGGOG00000011720
H2PJC5	ENSPPYG00000016704
G3R0R6	ENSGGOG00000008962
H2NZD5	ENSPPYG00000010171
P0C263	ENSG00000187550
G3QY41	ENSGGOG00000007939
G3R6S8	ENSGGOG00000011333
G3RTI8	ENSGGOG00000023475
Q8WWU7	ENSG00000158764
Q15485	ENSG00000160339
F7B0I7	ENSMMUG00000007884
P42685	ENSG00000111816
H2NI35	ENSPPYG00000004782
G3QZN5	ENSGGOG00000008540
Q14210	ENSG00000167656
F7HPF2	ENSMMUG00000000047
F6TK97	ENSMMUG00000011137
G3QG09	ENSGGOG00000001274
H2P0F9	ENSPPYG00000010492
F7DZJ3	ENSMMUG00000015259
G3QFD7	ENSGGOG00000001021
H2QKS7	ENSPTRG00000013740
G3RAZ9	ENSGGOG00000012945
G3R6S9	ENSGGOG00000011330
H2P2M2	ENSPPYG00000011239
G3RQX6	ENSGGOG00000022748
H2R2S6	ENSPTRG00000000037
G3QNJ4	ENSGGOG00000004193
G3R619	ENSGGOG00000011034
H2P178	ENSPPYG00000010773
F7G2C9	ENSMMUG00000014635
Q92482	ENSG00000165272
H2R5X6	ENSPTRG00000011241
H2N532	ENSPPYG00000000622
G3RHE5	ENSGGOG00000015446
Q9H4D5	ENSG00000147206
H2PWV2	ENSPPYG00000020747
O60938	ENSG00000139330
Q9UFN0	ENSG00000136783
P63252	ENSG00000123700
H2Q4G2	ENSPTRG00000004100
G3REK4	ENSGGOG00000014349
G3S7W7	ENSGGOG00000027753
F7HAC6	ENSMMUG00000003849
F7GTS7	ENSMMUG00000029627
G3SG99	ENSGGOG00000024122
P15088	ENSG00000163751
Q9Y662	ENSG00000125430
H2R9T2	ENSPTRG00000020297
G3SJ81	ENSGGOG00000002085
F7H076	ENSMMUG00000002825
H2QD42	ENSPTRG00000009226
F6RG74	ENSMMUG00000010335
H2QC52	ENSPTRG00000008700
H2RH89	ENSPTRG00000041525
G3R2X0	ENSGGOG00000009811
H2Q2J8	ENSPTRG00000002926
O14950	ENSG00000118680
H2PSG3	ENSPPYG00000019310
G3QUZ8	ENSGGOG00000006703
H2NFX5	ENSPPYG00000004082
H2NER2	ENSPPYG00000003707
H2P0L4	ENSPPYG00000010551
F7FF13	ENSMMUG00000023295
Q6PXP3	ENSG00000197241
H2R1X1	ENSPTRG00000023109
H2R931	ENSPTRG00000030596
Q8NE01	ENSG00000168763
G3QII4	ENSGGOG00000002230
G3RGL7	ENSGGOG00000015134
H2PIB5	ENSPPYG00000016380
Q7Z6R9	ENSG00000008197
H2Q0F3	ENSPTRG00000001563
G3RLH2	ENSGGOG00000017030
G3RQZ4	ENSGGOG00000027003
G3SE15	ENSGGOG00000014583
G3QR07	ENSGGOG00000005149
H2PTB5	ENSPPYG00000019584
H2NXI6	ENSPPYG00000009546
H2NPW8	ENSPPYG00000007023
H2QY50	ENSPTRG00000021530
G2HJP5	ENSPTRG00000021232
O15492	ENSG00000143333
Q8NCI6	ENSG00000166105
P52961	ENSG00000129744
Q9NZT1	ENSG00000178372
H2P736	ENSPPYG00000012698
F7GP69	ENSMMUG00000001870
H2QIG9	ENSPTRG00000012305
H2QC20	ENSPTRG00000008657
G3QRH4	ENSGGOG00000005341
H2Q4A7	ENSPTRG00000003990
H2QH70	ENSPTRG00000011514
Q5JNZ3	ENSG00000197935
Q5JNZ3	ENSG00000169260
Q5JNZ3	ENSG00000225351
Q5JNZ3	ENSG00000235178
Q5JNZ3	ENSG00000235589
Q5JNZ3	ENSG00000223687
Q5JNZ3	ENSG00000233831
H2Q0D9	ENSPTRG00000001538
Q86SM8	ENSG00000184350
G3SCU5	ENSGGOG00000026538
F7EHP2	ENSMMUG00000003314
G3R7S8	ENSGGOG00000011714
F6SRM1	ENSMMUG00000000988
H2QI49	ENSPTRG00000012064
Q9UBY0	ENSG00000115616
G3R3R2	ENSGGOG00000010139
O43174	ENSG00000095596
P29322	ENSG00000070886
Q8TBE1	ENSG00000143786
H2QMW9	ENSPTRG00000015088
G3QJ62	ENSGGOG00000002485
G3QWX9	ENSGGOG00000007462
F7G7D6	ENSMMUG00000014532
F7C527	ENSMMUG00000005056
G3QPV8	ENSGGOG00000004712
H2QKG1	ENSPTRG00000013554
F7GJ48	ENSMMUG00000023668
P20849	ENSG00000112280
Q9H4Y5	ENSG00000065621
F7G8R5	ENSMMUG00000001540
F6R6W9	ENSMMUG00000000928
F6Z770	ENSMMUG00000013524
H2Q634	ENSPTRG00000005030
A1YF22	ENSGGOG00000028565
F6W3B9	ENSMMUG00000006065
Q5VUY2	ENSG00000204518
H2N5S8	ENSPPYG00000000845
F6V247	ENSMMUG00000020221
H2PCQ2	ENSPPYG00000014537
F6R3I0	ENSMMUG00000019040
H2NNE8	ENSPPYG00000006530
G3R210	ENSGGOG00000009466
Q8MIT8	ENSMMUG00000010522
A6NGE4	ENSG00000226372
F7EFN0	ENSMMUG00000010881
H9H3G5	ENSMMUG00000011167
H2QID4	ENSPTRG00000012241
G3R265	ENSGGOG00000009528
O75828	ENSG00000159231
H2NEI6	ENSPPYG00000003633
G3QP01	ENSGGOG00000004369
P98168	ENSG00000198205
G3S376	ENSGGOG00000028361
F6QE49	ENSMMUG00000015305
H2NSG9	ENSPPYG00000007892
H2NSL0	ENSPPYG00000007932
G3QYT3	ENSGGOG00000008209
Q92806	ENSG00000162728
H2R8C7	ENSPTRG00000030265
P34903	ENSG00000011677
H2PJ20	ENSPPYG00000016612
F6W5V5	ENSMMUG00000005638
H2NST3	ENSPPYG00000008001
F6Q6L1	ENSMMUG00000012805
F7GZS7	ENSMMUG00000012139
F6Z7N8	ENSMMUG00000013513
Q5VZL5	ENSG00000146463
H2QSK7	ENSPTRG00000017885
O95837	ENSG00000156049
Q8NH09	ENSG00000197376
F7G0E3	ENSMMUG00000008747
H2PRB6	ENSPPYG00000018922
F6UK01	ENSMMUG00000020255
G3R2I2	ENSGGOG00000009662
H2QYP7	ENSPTRG00000021962
F7HEL6	ENSMMUG00000020754
G3RZI2	ENSGGOG00000022385
G3QVV2	ENSGGOG00000007042
H2RA99	ENSPTRG00000031238
Q86UD4	ENSG00000181894
H2PQ79	ENSPPYG00000018558
Q96PD4	ENSG00000112116
H2QXU8	ENSPTRG00000021340
H2QT65	ENSPTRG00000018274
P63253	ENSMMUG00000014051
Q8TDS7	ENSG00000172938
Q8N1E2	ENSG00000144214
H2QU13	ENSPTRG00000018798
H2NCI4	ENSPPYG00000002945
Q8IW52	ENSG00000179542
H2QPU8	ENSPTRG00000016258
Q9NRD1	ENSG00000116663
G3QF42	ENSGGOG00000000919
H2NI36	ENSPPYG00000004783
H2Q5T4	ENSPTRG00000023679
H2N5T9	ENSPPYG00000000852
Q9Y5Y4	ENSG00000183134
G3QLT1	ENSGGOG00000003510
G3R8Y3	ENSGGOG00000012156
H2N8N8	ENSPPYG00000001751
H2QM02	ENSPTRG00000014582
H2RCJ8	ENSPTRG00000029767
H2QGQ2	ENSPTRG00000011219
H2NI87	ENSPPYG00000004825
G3R1V4	ENSGGOG00000009401
G3SJ92	ENSGGOG00000000079
G3QIZ1	ENSGGOG00000002404
H2PJI8	ENSPPYG00000016759
H2PWB7	ENSPPYG00000020572
O75881	ENSG00000172817
H2Q2X5	ENSPTRG00000003193
F6YGD4	ENSMMUG00000022535
F7EMB5	ENSMMUG00000017942
G3QN14	ENSGGOG00000003993
G3SD65	ENSGGOG00000011019
F6VQA9	ENSMMUG00000005676
O95136	ENSG00000267534
H2QKS8	ENSPTRG00000013741
G3SKG0	ENSGGOG00000034831
H2Q549	ENSPTRG00000004483
Q4G1C9	ENSG00000180481
P56704	ENSG00000154342
H2R8Z5	ENSPTRG00000030563
F6QZ51	ENSMMUG00000019186
F6RB23	ENSMMUG00000019020
F6VKJ4	ENSMMUG00000014988
G3RK34	ENSGGOG00000016491
H2R224	ENSPTRG00000023992
G3RGL4	ENSGGOG00000015132
G3RND2	ENSGGOG00000026032
Q6UXL0	ENSG00000174564
G3QKT8	ENSGGOG00000003127
G7N4P9	ENSMMUG00000003804
H2PDU5	ENSPPYG00000014912
F6SYD9	ENSMMUG00000013847
H2Q177	ENSPTRG00000002027
P0C594	ENSPTRG00000002653
H2NZG8	ENSPPYG00000010203
H2N4F8	ENSPPYG00000000434
F6VX95	ENSMMUG00000014821
G3QKD0	ENSGGOG00000002954
F7DH84	ENSMMUG00000018016
G3QSR2	ENSGGOG00000005829
F6SPU7	ENSMMUG00000015337
F7GV29	ENSMMUG00000001597
F6U5Q9	ENSMMUG00000022992
H2PJC0	ENSPPYG00000016699
H2PWZ9	ENSPPYG00000020792
H2QWZ8	ENSPTRG00000020755
Q8MHW5	ENSGGOG00000016693
P04278	ENSG00000129214
F6SK88	ENSMMUG00000007595
H2R3U7	ENSPTRG00000000791
Q6W3E5	ENSG00000178795
H2Q381	ENSPTRG00000003390
F6YI93	ENSMMUG00000000496
H2R5Y0	ENSPTRG00000011222
G3RJZ6	ENSGGOG00000016452
G3QGI7	ENSGGOG00000001465
F7H6H5	ENSMMUG00000021175
H2NYT3	ENSPPYG00000009972
H2NAI0	ENSPPYG00000002317
H2QTL3	ENSPTRG00000018521
G2HE30	ENSPTRG00000000148
Q9H3M0	ENSG00000162975
Q9NP86	ENSG00000105507
G3QUL6	ENSGGOG00000006562
H2Q1K4	ENSPTRG00000002255
F7GI13	ENSMMUG00000015386
H2PBP8	ENSPPYG00000014192
Q13882	ENSG00000101213
Q9H3Y6	ENSG00000125508
G3QQN2	ENSGGOG00000005003
F6YQC2	ENSMMUG00000000472
H2QZ88	ENSPTRG00000022383
Q96T25	ENSG00000139800
I3L0D1	ENSG00000272968
G3RDM3	ENSGGOG00000013973
O00757	ENSG00000130957
G3QXB4	ENSGGOG00000007617
F7F8I2	ENSMMUG00000006865
G3QZE6	ENSGGOG00000008451
H2NI59	ENSPPYG00000004799
G3RJI4	ENSGGOG00000016274
Q9UHV2	ENSG00000197019
H2PRX5	ENSPPYG00000019134
H2QIF1	ENSPTRG00000012277
G3QJL0	ENSGGOG00000002649
Q9HA64	ENSG00000141560
